Signatur;Autor:in Nachname;Autor:in Vorname;Titel;Jahr der Veröffentlichung;Schlagwort;Klappentext;ISBN;Sprache
Batel;Batel;Günther;Spiellieder und Bewegungsspiele in der Musiktherapie;1992;Spiel, Bewegung, Gesang;"Spiel, Bewegung, Gesang sind besonders geeignete Medien zur Verwirklichung musiktherapeutischer und sozialpädagogischer Zielsetzungen, da es betont kommunikative Medien sind. Sie bieten ein Übungsfeld für soziale Verhaltensweisen und bereichern die Erlebnis. Und Kommunikationsmöglichkeiten; zusätzlich fördern sie die gesamte-rötliche Geschicklichkeit. Dieses kommt insbesondere in den Spielliedern und Bewegungspielen der Kinder zum Ausdruck. Dieser Wand befasst sich mit der Bedeutung von Musik, Spiel und Bewegung im therapeutischen Prozess und untersucht dabei speziell die musiktherapeutische Relevanz von Spielliedern und Bewegungspielen der Kinder. Daraus resultieren wichtige Modelle für musiktherapeutischen Kommunikationsspiele, die ausführlich erläutert werden.";3-437-11433-6;Deutsch
Baumann;Baumann;Urs;Indikation zur Psychologie. Perspektiven für Praxis und Forschung.;1981;Klinische Psychologie, Psychotherapie, Indikation;Es gibt heute eine Vielfalt von Methoden, die alle den Namen „Psychotherapie“ in Anspruch nehmen. Die Palette reicht vom begründeten verantwortungsvollen Handeln bis zur Heilslehre. Für verschiedene Gruppen – Klienten, Therapeuten, Wissenschaftler, Behörden – ist daher die Indikationsfrage von größter Bedeutung: wann ist welche Psychotherapie angebracht? Im vorliegenden Buch befassen sich mit dieser Frage Autoren aus den Bereichen Psychotherapie, Psychosomatik, Psychiatrie, Psychopharmakotherapie, Methodik und Wissenschaftstheorie.Sie zeigen, wie vielschichtig die Indikationsfrage ist und dass es sich verbietet, sie „kochbuchartig“ zu beantworten. Der Herausgeber Urs Baumann ist Professor für klinische Psychologie an der Universität Kiel und durch zahlreiche Publikation ausgewiesen.;3-541-09461-3;Deutsch
Bayley;Bayley;John;Elegie für Iris;2002;Liebe und Alzheimer;Iris Murdoch starb 1999 an der Alzheimerschen Krankheit. Ihr Mann, John Bayley, erzählt die Geschichte seines außergewöhnlichen Lebens mit dieser großen Schriftstellerin. Selten sind die Höhen und Tiefen einer Ehe und die unbeirrbare Macht der Liebe bewegender dargestellt worden als in diesem wunderbaren Buch.;3-7632-5056-5;Deutsch
Barnowski- Geiser;Barnowski- Geiser;Waltraut;Hören, was niemand sieht. Kreativ zur Sprache bringen, was Kinder und Erwachsene aus alkoholbelasteten Familien bewegt.;2009;Kinder und Erwachsene, Alkoholismus, Alkoholprobleme in Familien, Zur Sprache bringen;"Kinder aus alkoholbelasteten Familien sind extrem belastet: Sie erleben alltäglich Krisen, die von ihren Eltern oftmals verleugnet und von ihrem Umfeld nicht wahrgenommen werden. Die meisten derart Betroffenen leiden stumm und unerkannt, oftmals bis ins hohe Erwachsenenalter - ohne je therapeutische Hilfe erfahren zu dürfen. Die Musiktherapeutin Waltraut Barnowski-Geiser untersuchte knapp ein Jahrzehnt das Erleben der Alkoholbelastung unter leibtherapeutischen Aspekten und ermöglicht bislang verborgene Einblicke in die seelische Welt Betroffener. Sie gibt wertvolle Hilfestellungen, wie musiktherapeutische und intermediale Wege zu dieser vergessenen Hochrisikogruppe aussehen zu können. Anhand zahlreicher Fallbeispiele und ausführlicher Einzeldarstellungen aus der Arbeit mit Kindern, Jugendlichen und Erwachsenen demonstriert sie anschaulich, wie trotz der familiären Alkoholbelastung durch das von ihr speziell für die Zielgruppe entwickelte ""AWOKADO-Konzept zu sanften Entlastung"" praxisnahe Hilfe möglich werden kann. Das Buch für die kompetente und angemessene Theorie und Praxis von Alkoholbelastung - eine unverzichtbare Orientierungshilfe für Menschen, die sich dem Erleben dieser immer größer werdenden Zahl Betroffener annähern möchten.";978-3-934933-26-2;Deutsch
Blaser;Blaser;Andreas ;Problemorientierte Musiktherapie. Ein integratives Konzept;1992;Psychologie, Lehre, Psychotherapie;Dieser psychotherapeutische Leitfaden wurde von Praktikern für die Praxis geschrieben. Die Anwendung integrativer Psychotherapie wird theoretisch begründet. Die Hauptmerkmale sind konsequente Patienten- und Problemorientiertheit, Methodenpluralismus und Strukturierung von Aufbau und Ablauf der Therapie. Elemente wirksame Psychotherapieformen werden in ein theoretisches Konzept integriert und durch eine pragmatische Indikationsstellung therapeutisch um gesetzt. Ein wesentlicher Aspekt ist die didaktische Zielsetzung des Buches, dass ich deshalb besonders gut zum Erwerb psychotherapeutischen Basiswissens eignet. Dem erfahrenen Psychotherapeuten erlaubt es, sein Wissen und Können zielgerecht anzuwenden.;3-456-82143-3;Deutsch
Blackenburg, von;Blackenburg, von;Albrecht;Musiktherapie mit Senioren;2004;Senioren, Alte Menschen, Altersheim ;Freude, Kreativität und neue Erlebnisse mit Hilfe von Musik können auch ältere Menschen erleben. Dieses Buch soll Anregung und Hilfe sein, das Behandlungsangebote der Musiktherapie noch viel stärker für Senioren zu öffnen und zu erweitern. Ausgehend von einem Erfahrungsbericht gibt der Autor praktische Vorschläge zur Gestaltung von aktiver Musiktherapie unter Verwendung von Orff#schem Instrumentarium.;3-8248-0003-9;Deutsch
Blunt;Blunt;Leslie;Musiktherapie. Eine Einführung für psychosoziale und medizinische Berufe;1998;Grundlagen der Anwendung der Musiktherapie;Ein Standartwerk, dass eine schulen-vergreifende Gesamtdarstellung der Musiktherapie bietet. Das Buch gibteinen für uns hochaktuellen Überblick über die Anwendung der Musiktherapie im angloamerikanischen Raum. Dabei geht es sowohl um die Prävention un der Musik- und Sozialpädagogik als auch um soziale Kulturarbeit. Ausführlich wird die Musiktherapie in der stationären und ambulanten Kinder-, Jugend-, und Erwachsenenpsychatrie und -Neurologie dargestellt. In sehr lebendiger Weise wird die Fach Diskussion vermittelt, wobei der Autor eindrucksvolle Fälle aus der Behandlungspraxis einbezieht. Er berichtet über Forschungen, die die Effizienz der Musiktherapie belegen und für uns neuartig sind. Das Buch bietet deshalb vielfältige Anregungen zum Einsatz von Musiktherapie im Kontext sozialpädagogischer gesundheitspolitische Aufgaben.;3-407-55811-2;Deutsch
Bolay;Bolay;Hans Volker;Musiktherapie als Hochschuldisziplin in der Bundesrepublik Deutschland;1985;Ausbildung Musiktherapie;Erst in den letzten Jahren hat sich in der Bundesrepublik Deutschland die Musiktherapie als Ausbildungsdisziplin installiert. Die Musik therapeutische Ausbildungslandschaft ist derzeit jedoch schwer überschaubar und bietet insbesondere dem musiktherapeutischen Laien ein recht widersprüchliches Bild. Musiktherapeutische Weiterbildungs – und Fortbildungsangebote stehen neben Versuchen musiktherapeutische Schwerpunktbildungen in fachfremden Studiengängen sowie ersten vielversprechenden Bemühungen um eine grundständige musiktherapeutische Ausbildung auf Fachhochschuleebene. Die vorliegende Arbeit bietet einen umfassenden Überblick über die aktuelle Entwicklung der Musiktherapie im Ausbildungsbereich und berücksichtigt dabei im Rahmen einer vergleichende Analyse sowohl Studienstruktur, Studienorganisation, inhaltliche Konzeption und Schwerpunktbildung in der Bundesrepublik Deutschland vorzufindenden musiktherapeutischen Ausbildungsangebote als auch deren didaktische Vorgehensweisen und Zielvorstellungen. Darüber hinaus wird im Rahmen dieser Arbeit einer Grundsaatzdiskussion zur Frage der Lehrbarkeit und Überprüfbarkeit psychotherapeutisch-Musiktherapeutischer Kompetenz Stellung genommen.;3437109812;Deutsch
Boller01;Boller;Rainer;Musiktherapeut als Beruf. Anspruch und Wirklichkeit Musiktherapeutischer Arbeit in der Bundesrepublik Deutschland;1985;Aufgabengebiete von Musiktherapie, Praxis;Die Musiktherapie macht erst seit geraumer Zeit den Versuch, sich mit Hilfe eines wissenschaftlichen Instrumentariums und wissenschaftlicher Methoden zur artikulieren, ihre Aufgabengebiete festzulegen und darüber nachzudenken, wer denn nun eigentlich als „Musiktherapeut“ bezeichnet werden können und des Nachweises welche Fähigkeiten und Fertigkeiten es bedürfe, um diese Berufsbezeichnung tragen und angemessen vertreten zu können. Ausgehend von einschlägigen Definitionsversuchen von „Musiktherapie“ wird in der vorliegenden Arbeit untersucht, ob beziehungsweise inwieweit sich diese in der Literatur aufzufinden Standortbestimmung mit dem musiktherapeutischen Alltag der Betroffenen sowie mit den Vorstellungen und Erwartungen potentieller Arbeitgeber von Musiktherapeuten in Übereinstimmung bringen lässt. Die im Rahmen empirische Untersuchungen werden insbesondere Anforderungen und Tätigkeitsmerkmale musiktherapeutische Arbeit untersucht, darüber hinaus werden potentielle Arbeitgeber von Musiktherapeuten zu den Vorstellungen und Erwartungen befragt, die sie mit musiktherapeutischer Arbeit verbinden. Im weiteren werden berufspolitische Fragen der Musiktherapie eben so diskutiert wie das Verhältnis der Musiktherapie zu anderen Berufsgruppen innerhalb des therapeutischen Teams. Die Entwicklung alternativer musiktherapeutischer „Berufsmöglichkeiten“ wird als wesentliche Aufgabe praktizierender Musiktherapeuten vorgestellt.;3-437-10982-0;Deutsch
Boller02;Boller;Rainer;Musiktherapeut als Beruf. Anspruch und Wirklichkeit Musiktherapeutischer Arbeit in der Bundesrepublik Deutschland;1985;Aufgabengebiete von Musiktherapie, Praxis;Die Musiktherapie macht erst seit geraumer Zeit den Versuch, sich mit Hilfe eines wissenschaftlichen Instrumentariums und wissenschaftlicher Methoden zur artikulieren, ihre Aufgabengebiete festzulegen und darüber nachzudenken, wer denn nun eigentlich als „Musiktherapeut“ bezeichnet werden können und des Nachweises welche Fähigkeiten und Fertigkeiten es bedürfe, um diese Berufsbezeichnung tragen und angemessen vertreten zu können. Ausgehend von einschlägigen Definitionsversuchen von „Musiktherapie“ wird in der vorliegenden Arbeit untersucht, ob beziehungsweise inwieweit sich diese in der Literatur aufzufinden Standortbestimmung mit dem musiktherapeutischen Alltag der Betroffenen sowie mit den Vorstellungen und Erwartungen potentieller Arbeitgeber von Musiktherapeuten in Übereinstimmung bringen lässt. Die im Rahmen empirische Untersuchungen werden insbesondere Anforderungen und Tätigkeitsmerkmale musiktherapeutische Arbeit untersucht, darüber hinaus werden potentielle Arbeitgeber von Musiktherapeuten zu den Vorstellungen und Erwartungen befragt, die sie mit musiktherapeutischer Arbeit verbinden. Im weiteren werden berufspolitische Fragen der Musiktherapie eben so diskutiert wie das Verhältnis der Musiktherapie zu anderen Berufsgruppen innerhalb des therapeutischen Teams. Die Entwicklung alternativer musiktherapeutischer „Berufsmöglichkeiten“ wird als wesentliche Aufgabe praktizierender Musiktherapeuten vorgestellt.;3-437-10982-0;Deutsch
Bright;Bright;Ruth;Musiktherapie in der Altenhilfe;1984;Altenhilfe;Der vierte Band im Rahmen der Reihe „Praxis der Musiktherapie“ bietet eine Übersicht über die Einsatzmöglichkeiten der Musiktherapie bei alten Menschen, insbesondere in Krankenhäusern, Pflegeheimen und Altenzentren. Überall dort, wo ältere Menschen von ihrer Umwelt abgekapselt sind, wo sie unter Schmerzen, Ängsten und Vereinsamung leiden und sich unglücklich fühlen, können Sie durch die Musiktherapie mit dem Ziel der Bildung neuer Beziehungen angesprochen werden. Musik kann dabei als intellektuelle Herausforderung, als Quelle des Vergnügens und als Assoziation zur Vergangenheit eine segensreiche WIrkung entfalten. Somit gehört dieses Buch in die Hände aller Therapeuten, die sich mit alten Menschen befassen.;3-434-10880-8;Deutsch
Bruhn;Bruhn;Herbert;Musiktherapie. Geschichte - Theorien - Methoden;2000;Theoretische Grundlagen;Seit Jahrtausenden wird Musik von Menschen zur Heilung von Krankheiten eingesetzt, aber erst ab Mitte des 20. Jahrhunderts sind die vielfältigen Methoden so weiterentwickelt worden, dass ein gezielter Einsatz von Musiktherapie als Psychotherapie möglich wurde. Sehr effektiv ist Musiktherapie bei der Bearbeitung von Konflikten, die aus unterschiedlichen Gründen mit sprachlichen Möglichkeiten nicht bewusst gemacht werden können. In manchen Fällen wird Musiktherapie eingesetzt, um Lernen zu unterstützen oder um Beeinträchtigungen durch Unfall oder Schlaganfall zu bewältigen. Bei Behinderungen, die dauerhaft und unveränderbar existieren, kann Musiktherapie auf eine Verbesserung des Erlebens ausgerichtet sein. Das Buch beschreibt die Entwicklung der Musiktherapie, den Kern der Methoden, der allen Richtungen der Musiktherapie gemeinsam ist, sowie die Anwendungsfelder der Musiktherapie.;3-8017-1325-3;Deutsch
Cramer;Cramer;Annette;Tinnitus: Wirksame Selbsthilfe durch Musiktherapie;2002;Tinnitus, CD im Booklet;"Mit sanften Klängen gegen Tinnitus

Das erste Hör-Programm - für Sie individuell zum Kombinieren

Fast jeder 10. Deutsche ist von Tinnitus betroffen. Dabei bietet die Musiktherapie gerade langfristig Betroffenen verblüffende Erfolge. Erproben Sie die heilende Kraft der tinnituszentrierten Musiktherapie. Das Besondere daran: Sie kombinieren die Übungen selbst. 

Gezielte Klangangebote verbessern Ihre Hörleistung 

Eine Vielfalt von Klang- und Musikbeispielen bieten Ihnen die zwei CDs. Mit umfangreichen Hörtests lernen Sie Ihr Ohrgeräusch genau einzuschätzen. Und auch jene Hörstörungen, die häufig damit verbunden sind. In 7 Schritten bauen Sie Ihr passendes Selbsthilfeprogramm auf. 

Mit dem 3-Wochen-Basistraining erlangen Sie wieder größeres Hörvergnügen

Das dreiwöchige Basistraining bietet Ihnen die Kernelemente einer erfolgreichen Behandlung. Beim richtigen Zuhören lernen Sie sich tief zu entspannen. Die Innenohr-Gymnastik verbessert Ihre subjektive Hörwahrnehmung. Und schließlich lernen Sie mit der richtigen Musik wieder aktiv zu hören - und damit den Tinnitus einfach nicht mehr wahrzunehmen. 

""Wer trotz seines Leidens am Tinnitus aktiv an dieses Buch gehen kann, der hat die Chance, wieder handlungsfähig und dabei zum Komponisten des eigenen Lebens zu werden."" Dr. H. Schaaf, Leitender Oberarzt der Tinnitus-Klinik Bad Arolsen";978-3830430070;Deutsch
Damasio;Damasio;Antonio R.;Ich fühle also bin ich. Die Entschlüsselung des Bewusstseins;2000;Bewusstsein, Gefühle, Bewussteseinsforschung;Woher wissen wir, dass wir wissen? Wie entsteht das Gefühl für unser Selbst? Welche Rolle spielen Emotionen und Gefühle im Bewusstseinsprozess? In einer klaren, gut verständlichen Sprache beschreibt der weltweit berühmte Neurologe Antonio Damasio, warum wir fühlen, was wir sind. Zahlreiche Fallbeispiele aus seinem Patientenkreis veranschaulichen dabei, welch kuriose und schreckliche Folgen Schädigungen des Gehirns für unser Selbstverständnis haben können. Eine spannende Reise in die Tiefe unseres Bewusstseins.;3-471-77349-5;Deutsch
Dornes;Dornes;Martin;Der kompetente Säugling. Die präverbale Entwicklung des Menschen;1993;Nonverbale Kommunikation, Präverbale Kommunikation des Menschen, Psychoanalyse;Neue Forschungen haben gezeigt, dass Säuglinge ihre körperlichen Bedürfnissen keineswegs passiv ausgeliefert sind, wie früher angenommen worden ist. Sie sind kompetenter und nehmen ihre Umweltwald Schäfer war, als ich früher Forscher haben träumen lassen. Der Auto erläutere die Bedeutung dieser Erkenntnisse für Theorie und Praxis der Psychoanalyse.;3-596-11533-7;Deutsch
Drewer;Drewer;Martin;Gestalt-Ästhetik-Musiktherapie. Argumente zur wissenschaftlichen Grundlegung der Musiktherapie als Psychotherapie;2000;Sinnlich -ästhetische Wahrnehmung, Gestaltpsychologie, Psychoamnalyse;;3825846083;Deutsch
Decker-Voigt01;Decker-Voigt;Hans-Helmut;Als Tante Thea einmal weinte. Eigenartige Familiengeschichten.;2008;Familie, Generationen, Eigenarten, Einzigartigkeit;Jede Familie hat ihre Eigenart, und eigenartig sind die hier versammelten Familiengeschichten allemal: Lebenslang unterdrückte Geheimnisse, Generationen überspannende Prinzipien und Haltungen, Schicksalsmomente, deren Dramatik Ausfluss einer langen Seelengeschichte ist, unwahrscheinliche Erlebnisse aus dem realen Leben und bizarre Nachbarschaften sind die Schwerpunkte, um die sich die Erzählungen drehen. Es sind Meisterstücke der kleinen Form, aus denen die Liebe des Autors zu seinen Figuren spricht, die Nachsicht mit den Schwächen der Protagonistinnen und Protagonisten sowie ein tiefes Verständnis ihrer seelischen Wirklichkeit. Hans-Helmut Decker-Voigt, im anderen Teil seines Lebens Professor für Musiktherapie, ist ein kunstvoller, beobachtungsgenauer Erzähler. Seine lakonische, immer auch humorvolle Sprache legt menschliche Botschaften frei, die zu manch innerem Aha-Erlebnis führen – und das Lachen über sich selbst erleichtern.;978-3927369320;Deutsch
Decker-Voigt02;Decker-Voigt;Hans-Helmut;Aus der Seele gespielt. Eine Einführung in Musiktherapie mit vier Beiträgen von Eckhard Weymann;1991;Musiktherapie als Heilmethode;Musik berührt die Seele, weckt Gefühle und Erinnerungen, wühlt auf oder beruhigt. Hans-Helmut Decker-Voigt erklärt, wie die Beziehung des Menschen zur Musik entsteht und wie man sie in der Musiktherapie nutzen kann. Er zeigt, wie die Musiktherapie praktisch angewendet wird und welche psychischen und psychosomatischen Erkrankungen sich mit ihrer Hilfe behandeln lassen. Der Autor stellt darüber hinaus konkrete Übungen vor, mit denen auch Gesunde die positiven Wirkungen der Musik nutzen können, um zu entspannen und neue Energie zu sammeln.;978-3-442-13561-5;Deutsch
